,Bcell,CD4T,CD8T,Mono,NK,Neu
Bcell,0.0,0.37721372967114486,0.38717428929693576,0.28992130626370116,0.33686765632014726,0.25832862637566245
CD4T,0.37721372967114486,0.0,0.23088211468571906,0.3886935891841523,0.3921721231316627,0.3833099163570389
CD8T,0.38717428929693576,0.23088211468571906,0.0,0.39201363873594464,0.2568097973117015,0.4068238700953518
Mono,0.28992130626370116,0.3886935891841523,0.39201363873594464,0.0,0.39244063772966087,0.14767686326005935
NK,0.33686765632014726,0.3921721231316627,0.2568097973117015,0.39244063772966087,0.0,0.37554175183247795
Neu,0.25832862637566245,0.3833099163570389,0.4068238700953518,0.14767686326005935,0.37554175183247795,0.0
