Subject,CD8T,CD4T,NK,Bcell,Mono,Neu,Est_Method
GSM2333902_9376538120_R06C01,0.0609485857760363,0.210264985213464,0.0667199558842473,0.024958209528312,0.106857259499866,0.530251004098075,Robust Partial Correlations
GSM2333905_9370847096_R06C02,0.0467188716164724,0.212510644699336,0.0501439828592862,0.0426879762807678,0.102055943523623,0.545882581020515,Robust Partial Correlations
GSM2333914_7766148058_R01C01,0.152360365192977,0.127737067577804,0.054185097779775,0.0330632588494013,0.102204970092874,0.530449240507168,Robust Partial Correlations
GSM2333915_7766148025_R03C02,0.0626429488769482,0.121710876588175,0.0735572549895724,0.0249797491625563,0.0775755834900672,0.639533586892681,Robust Partial Correlations
GSM2333921_7766148058_R03C01,0.147098721925781,0.218701504900895,0.0326971763044586,0.0553656065439246,0.0614063027871711,0.48473068753777,Robust Partial Correlations
GSM2333922_7766148025_R06C02,0.0999366601759663,0.129659548225447,0.0704740992405787,0.0972468924718601,0.14654794947773,0.456134850408418,Robust Partial Correlations
GSM2333928_9370847081_R06C02,0.141881908528354,0.156809168929769,0.070469515196426,0.0370665312624928,0.0923758210716322,0.501397055011326,Robust Partial Correlations
GSM2333933_9370847011_R04C01,0.277756241545239,0.0742666236065921,0.0737652253794398,0.0605191400740566,0.092438313453339,0.421254455941333,Robust Partial Correlations
GSM2333935_7766148114_R02C01,0.110697618527269,0.16522321817015,0.0716562328331933,0.0115216963021179,0.097007174092106,0.543894060075164,Robust Partial Correlations
GSM2333936_9370847063_R04C02,0.107317817068009,0.149954013032344,0.0576479731815418,0.0738693947957795,0.0945826171271041,0.516628184795221,Robust Partial Correlations
GSM2333941_7766148114_R04C01,0.0861164405778985,0.157487958195658,0.0259342258082066,0.0619080385522255,0.0609993716517131,0.607553965214298,Robust Partial Correlations
GSM2333948_7766148026_R02C01,0.0875434172148338,0.204198204341146,0.0474601079011806,0.0486811781302132,0.0836265591089767,0.52849053330365,Robust Partial Correlations
GSM2333953_7766148026_R01C02,0.0430240748024548,0.208177980411867,0.0445325859763467,0.0338031698349078,0.0865265941345053,0.583935594839919,Robust Partial Correlations
GSM2333959_7766148077_R01C02,0.135968402685263,0.217720107621964,0.0483952084154363,0.0616846406320526,0.101158213055951,0.435073427589333,Robust Partial Correlations
GSM2333963_7766148116_R01C01,0.162686412376182,0.209866934704885,0.072216541977696,0.103501517561627,0.0821336137350036,0.369594979644607,Robust Partial Correlations
GSM2333965_7766148116_R02C01,0.129514149442317,0.166980814217777,0.0504739792527643,0.0658691360652464,0.0965353243743002,0.490626596647595,Robust Partial Correlations
GSM2333972_9370847125_R04C01,0.0682164746839288,0.143397534586751,0.0224797524086786,0.0259629057511153,0.0847279171780431,0.655215415391483,Robust Partial Correlations
GSM2333981_9370847011_R03C02,0.0857586267573643,0.149557082901968,0.0525608998589921,0.0446608782492026,0.0985115592741777,0.568950952958295,Robust Partial Correlations
GSM2333986_7766148112_R01C02,0.124763225027928,0.138867337071207,0.0472033510703602,0.0893593828987008,0.0653126019780394,0.534494101953764,Robust Partial Correlations
GSM2333988_7766148112_R02C02,0.096678936010197,0.164940573065095,0.0554843060930245,0.053034996584052,0.106705937088606,0.523155251159025,Robust Partial Correlations
GSM2333992_7766148030_R02C02,0.180427289934016,0.133008305981828,0.026450398601508,0.0260862570290684,0.0880298138212437,0.545997934632336,Robust Partial Correlations
GSM2333996_7766148030_R04C02,0.100181777841644,0.210029178205742,0.0508140553579394,0.0509541709993967,0.101359259290986,0.486661558304292,Robust Partial Correlations
GSM2333999_9370847011_R01C02,0.0909337562888607,0.129682752844905,0.0672073423451706,0.138683873998023,0.0857259568033338,0.487766317719707,Robust Partial Correlations
GSM2334000_7766148030_R05C02,0.105410441710125,0.175170806891382,0.0215437097743901,0.0353464911259725,0.0882692978153549,0.574259252682776,Robust Partial Correlations
GSM2334003_7766148112_R04C01,0.139885265243034,0.130810922243624,0.0414417642930016,0.0332757420340631,0.102311173619901,0.552275132566376,Robust Partial Correlations
GSM2334006_7766148120_R03C01,0.0969176224858475,0.0902612557267902,0.0549249758763983,0.0180785929127666,0.0789427899909398,0.660874763007258,Robust Partial Correlations
GSM2334007_9370847081_R06C01,0.0961612415101139,0.225465481563726,0.0477910149770677,0.0718256545364974,0.0837739296382465,0.474982677774349,Robust Partial Correlations
GSM2334022_7766148057_R04C01,0.0797774625899036,0.161466818580327,0.0240337820326336,0.0460478142824389,0.0608362403472531,0.627837882167444,Robust Partial Correlations
GSM2334029_9379082138_R02C02,0.0654627818338566,0.196512350534211,0.0652192977458386,0.0615976148324059,0.0882224095280436,0.522985545525644,Robust Partial Correlations
GSM2334031_7766148077_R05C02,0.197574860114078,0.149209905676229,0.0289942129980902,0.0233214880836911,0.0751657119717144,0.525733821156197,Robust Partial Correlations
GSM2334035_9379082138_R03C02,0.0941161801483556,0.207581709494155,0.0571849898460054,0.0697239408659209,0.0825016394345555,0.488891540211007,Robust Partial Correlations
GSM2334039_9379082138_R05C02,0.133229559077968,0.233780285290606,0.0534859784302639,0.0637097951006806,0.0912650365224065,0.424529345578075,Robust Partial Correlations
GSM2334057_7766148130_R04C01,0.149851311396589,0.197813114598878,0.0649750088021318,0.0705712891790199,0.128794294496239,0.387994981527142,Robust Partial Correlations
GSM2334060_7766148130_R01C01,0.114445154079239,0.122527610224443,0.0457033260394068,0.0717938358533947,0.075367922533932,0.570162151269584,Robust Partial Correlations
GSM2334061_7766148130_R06C01,0.0920684970929468,0.122949893521831,0.0361014795422244,0.0446210841066032,0.0713350125543515,0.632924033182043,Robust Partial Correlations
GSM2334062_7766148130_R01C02,0.0635582822841248,0.134165852029765,0.0641374953173683,0.0863358204941772,0.133023618562161,0.518778931312405,Robust Partial Correlations
GSM2334067_7766148120_R02C02,0.0699689231617725,0.100589151107629,0.0367956968251311,0.0382648681070988,0.0345077088017132,0.719873651996655,Robust Partial Correlations
GSM2334071_7766148030_R01C01,0.130418436949008,0.188602647784362,0.0404987803283916,0.0568277728929544,0.0771215485917198,0.506530813453564,Robust Partial Correlations
GSM2334088_7766148005_R01C01,0.142499889668259,0.0971260019933507,0.0705856631224755,0.0151817709103757,0.0711100784485093,0.603496595857029,Robust Partial Correlations
GSM2334090_9370847015_R05C01,0.119661963584898,0.155611231393232,0.0952033036214949,0.0328615334515985,0.127645422616417,0.46901654533236,Robust Partial Correlations
GSM2334092_7766148005_R02C01,0.0578994531014213,0.16449558142139,0.030415001533217,0.0369721134836122,0.0766164953556595,0.6336013551047,Robust Partial Correlations
GSM2334101_9370847015_R02C02,0.0991522156704505,0.221698709920683,0.0849377547459187,0.0419398179974875,0.0629214686319477,0.489350033033513,Robust Partial Correlations
GSM2334102_9370847063_R02C01,0.222767502668531,0.191486725080922,0.0381454748243106,0.0471102867045815,0.0787794727402063,0.421710537981449,Robust Partial Correlations
GSM2334106_9370847063_R03C01,0.136940732768878,0.110594738142834,0.024635421259943,0.0426075537101298,0.0764248240524459,0.608796730065769,Robust Partial Correlations
GSM2334107_9370847015_R05C02,0.0796644487241806,0.110315004109787,0.0584159859144879,0.0555980351684446,0.0720888363731616,0.623917689709939,Robust Partial Correlations
GSM2334115_9370847092_R06C02,0.126031494645351,0.143557335604672,0.0231138276855737,0.0501253659246953,0.0924027838704527,0.564769192269255,Robust Partial Correlations
GSM2334117_7766148120_R01C01,0.136434453081617,0.195230126830204,0.0489976584008476,0.0479571401987732,0.0879934131948781,0.48338720829368,Robust Partial Correlations
GSM2334118_7766148130_R04C02,0.102934551562787,0.102421437157247,0.0712685755161122,0.0614678859521222,0.0800678203743753,0.581839729437356,Robust Partial Correlations
GSM2334131_9370847063_R04C01,0.0821307792796073,0.2118257734863,0.0449775236549155,0.0666244692259711,0.0673484020595124,0.527093052293694,Robust Partial Correlations
GSM2334141_9376561015_R04C02,0.151739128893006,0.179616741534851,0.0204214551325816,0.0613252525672022,0.0577131921171695,0.529184229755189,Robust Partial Correlations
GSM2334142_9370847063_R02C02,0.128754165762267,0.177750990529983,0.0452448900875945,0.0447751639912247,0.0749707651051379,0.528504024523793,Robust Partial Correlations
GSM2334143_7766148003_R03C01,0.105842955740429,0.138696967275638,0.0735469156515663,0.111836352656736,0.0995528351435106,0.470523973532119,Robust Partial Correlations
GSM2334144_7766148003_R01C02,0.196555559530628,0.10326702399199,0.064726198498433,0.040618457877269,0.070453393941434,0.524379366160246,Robust Partial Correlations
GSM2334152_7766148003_R04C02,0.13703344897392,0.175389703545499,0.0509401647796102,0.0664246537425177,0.116822784083841,0.453389244874613,Robust Partial Correlations
