,SARC,SKCM,UVM,BRCA,CHOL,LIHC,KICH,KIRC,KIRP,BLCA,CESC,UCEC,UCS,COAD,READ,LAML,ACC,PCPG,LUAD,MESO,THCA,ESCA,STAD,PAAD,PRAD,GBM,LGG,TGCT,THYM,HNSC,DLBC,LUSC
SARC,0.0,0.7258225679397583,0.7271779179573059,0.964003562927246,0.8270501494407654,0.9614711999893188,0.7022368907928467,0.8955808281898499,1.0093287229537964,0.952326476573944,0.8349590301513672,0.7560540437698364,0.7219997644424438,1.1936211585998535,0.9101769924163818,0.8522789478302002,0.7620753049850464,0.8805369138717651,1.4147912263870241,0.6329988241195679,0.9239670634269714,0.9392029047012328,0.830369234085083,0.7159059643745422,1.159029483795166,0.7526440024375916,0.8758003711700441,0.8945336937904358,0.9104370474815368,0.8856157064437866,0.7423584461212158,1.0977716445922852
SKCM,0.7258225679397583,0.0,0.6415423154830933,0.8719548583030701,0.999161422252655,0.797598659992218,1.0038825273513794,0.949718713760376,0.8593763113021851,1.0822420120239258,1.2045332193374634,0.8240435719490051,0.790386438369751,1.1378140449523926,1.341268539428711,0.6495643258094788,0.7947298288345337,0.8980165123939514,0.86313396692276,0.8035686612129211,0.8437528014183044,1.1733955144882202,1.1267346143722534,1.3236114978790283,1.6728267669677734,0.95527184009552,0.7164012789726257,0.933655083179474,0.9239547252655028,0.9636877179145812,0.8355464935302734,0.952143132686615
UVM,0.7271779179573059,0.6415423154830933,0.0,0.7683674693107605,0.8722679018974304,0.743005096912384,1.2204691171646118,0.6905522346496582,0.7807641625404358,1.6183022260665894,1.236409068107605,0.8399853110313416,1.2844609022140503,0.8754662275314331,0.9872363209724426,0.7106233239173889,1.0148653984069824,0.6915441751480103,1.3806051015853882,0.9715632796287536,1.0114246606826782,1.242251992225647,1.304896593093872,1.217442750930786,1.3720804452896118,1.0578768253326416,0.7647907733917236,0.9719241857528688,0.7137795090675354,1.0261678695678709,1.022857904434204,1.5244070291519165
BRCA,0.964003562927246,0.8719548583030701,0.7683674693107605,0.0,0.8372658491134644,0.8567688465118408,1.328357219696045,1.5021725893020632,1.240949034690857,1.3219442367553709,0.8673136234283447,0.92045658826828,0.8539507389068604,0.8654667139053345,1.1380436420440674,1.1182149648666382,0.8734334111213684,0.8913694620132446,0.9207817912101746,0.8112090229988098,1.275983214378357,0.8729599714279175,1.0879651308059692,1.1072064638137815,1.0506781339645386,1.4437482357025146,0.97960364818573,0.9494245052337646,0.8444347977638245,1.1707719564437866,1.3988605737686155,1.2538772821426392
CHOL,0.8270501494407654,0.999161422252655,0.8722679018974304,0.8372658491134644,0.0,0.3435879051685333,0.6811652183532715,0.9668176174163818,0.8921945691108704,1.0899596214294434,0.5828550457954407,0.9124268889427184,0.9821052551269532,1.098608136177063,0.862084686756134,1.2530992031097412,0.9933695793151855,1.3170263767242432,0.907288670539856,0.7415897846221924,0.7395326495170593,0.8978626728057861,0.8370353579521179,0.7705209851264954,0.9336321353912354,1.434546947479248,1.171769380569458,1.2085304260253906,0.8520466685295105,1.2881094217300415,0.7177311778068542,1.0393146276474001
LIHC,0.9614711999893188,0.797598659992218,0.743005096912384,0.8567688465118408,0.3435879051685333,0.0,0.8089982271194458,0.6827390193939209,0.86208176612854,1.0511693954467771,0.948294460773468,0.8061156868934631,1.2108727693557741,0.9523888230323792,0.9033786058425904,1.137251377105713,0.8795847296714783,0.9225741624832152,0.8442341089248657,0.9727764725685121,0.8560780882835388,1.153623342514038,0.9177089929580688,0.9081157445907592,1.153880596160889,1.3900638818740845,1.2467010021209717,0.7746710777282715,0.78966224193573,1.229841947555542,0.6644585728645325,1.023172378540039
KICH,0.7022368907928467,1.0038825273513794,1.2204691171646118,1.328357219696045,0.6811652183532715,0.8089982271194458,0.0,0.5947979092597961,0.5450211763381958,0.7283486723899841,1.1115816831588743,0.9914259910583496,0.6678534746170044,1.256799817085266,0.9397350549697876,1.2751294374465942,0.6507126092910767,1.0039873123168943,0.8598204851150513,0.8349209427833557,0.6453059315681458,0.9371721148490906,0.6818840503692627,0.6869480013847351,0.6684173941612244,0.7188469767570496,0.7952609658241272,1.0644040107727049,1.3332574367523191,1.277400016784668,0.8355703353881836,0.8046342134475708
KIRC,0.8955808281898499,0.949718713760376,0.6905522346496582,1.5021725893020632,0.9668176174163818,0.6827390193939209,0.5947979092597961,0.0,0.4749895930290222,0.9086058735847472,1.2670049667358398,0.7573593258857727,1.2177051305770874,0.8540419340133667,0.6960837841033936,0.9309701323509216,1.035076379776001,0.7701745629310608,1.1894021034240725,1.3079077005386353,0.7727958559989929,1.1941983699798584,0.8735728859901428,0.9443583488464355,0.9078797698020936,0.6567384004592896,0.9632422924041748,0.7432886362075806,1.0854009389877322,0.8340494632720947,0.5885715484619141,1.0004185438156128
KIRP,1.0093287229537964,0.8593763113021851,0.7807641625404358,1.240949034690857,0.8921945691108704,0.86208176612854,0.5450211763381958,0.4749895930290222,0.0,0.9965376257896424,1.1211774349212646,0.9857257604599,0.7627284526824951,0.7411959171295166,0.8233799934387207,1.0152684450149536,1.063296675682068,0.8271923661231995,0.8038814663887024,0.9455069303512572,0.7241913080215454,0.8870950937271118,1.0316642522811892,1.2057957649230957,0.9170609712600708,1.0511811971664429,0.9784900546073914,1.280375361442566,1.4422855377197266,1.0683473348617554,1.2166374921798706,1.1412370204925537
BLCA,0.952326476573944,1.0822420120239258,1.6183022260665894,1.3219442367553709,1.0899596214294434,1.0511693954467771,0.7283486723899841,0.9086058735847472,0.9965376257896424,0.0,0.6095091700553894,0.7884950637817383,0.6811628937721252,0.9712485074996948,0.7308146357536316,0.8443443775177002,0.783965528011322,0.8585808873176575,0.7690007090568542,0.9418681263923644,0.7230101227760315,1.0214025974273682,0.8935383558273315,0.7432054877281189,0.7325527667999268,0.8114931583404541,1.3505107164382937,0.9189409613609314,1.1452940702438354,0.8464858531951904,0.7595067024230957,0.631524384021759
