,Hannum.Est,EpiTOC.Est,Horvath.Est
GSM2333902_9376538120_R06C01,58.7449449342914,0.06270433266610667,54.58164532719933
GSM2333905_9370847096_R06C02,74.16632226539569,0.07492189206168458,68.8156272374593
GSM2333914_7766148058_R01C01,70.34294437113337,0.12500162308041865,68.19086629337941
GSM2333915_7766148025_R03C02,63.51119819371686,0.06748428218601689,57.95566054836101
GSM2333921_7766148058_R03C01,33.17366476204673,0.08488308304837536,30.812724866767986
GSM2333922_7766148025_R06C02,79.07913091845155,0.11288313177997282,74.31753303693388
GSM2333928_9370847081_R06C02,73.13707116700903,0.12414790762545272,67.5813886714421
GSM2333933_9370847011_R04C01,88.94927495069743,0.16834889454101995,70.3907573488279
GSM2333935_7766148114_R02C01,87.41589805088783,0.10462788642973543,83.58712017464717
GSM2333936_9370847063_R04C02,66.63161311376771,0.09248920442871089,59.25197886899106
GSM2333941_7766148114_R04C01,72.00144930560488,0.09342930429429383,65.85381295744531
GSM2333948_7766148026_R02C01,44.30279019215828,0.06222056898006424,42.80112975971908
GSM2333953_7766148026_R01C02,63.19604355952661,0.08260276150635291,56.03931404247522
GSM2333959_7766148077_R01C02,31.00318702916086,0.06649198834662003,22.74467806160855
GSM2333963_7766148116_R01C01,24.759803584902123,0.08440152671107881,17.20085527743694
GSM2333965_7766148116_R02C01,30.095943731543635,0.06461360226770656,25.593847977682763
GSM2333972_9370847125_R04C01,47.97566041551117,0.07633886364267524,45.00138932902577
GSM2333981_9370847011_R03C02,36.93398369662529,0.06800452740493369,27.469789376802243
GSM2333986_7766148112_R01C02,22.372949888620052,0.07118690438108986,20.125528335062597
GSM2333988_7766148112_R02C02,25.7425898995907,0.06726474735950336,20.297554110975508
GSM2333992_7766148030_R02C02,36.250497880214255,0.07309754016146382,39.34925924436915
GSM2333996_7766148030_R04C02,44.0061519131104,0.07502455638711585,45.13111188431193
GSM2333999_9370847011_R01C02,25.62545302280186,0.06805944236868727,21.380475025019678
GSM2334000_7766148030_R05C02,48.76564732454157,0.07302813799999495,44.64193989727941
GSM2334003_7766148112_R04C01,52.10329619511531,0.09212427779630863,48.502494704757424
GSM2334006_7766148120_R03C01,71.93800336799292,0.09641509044624663,71.44771597782116
GSM2334007_9370847081_R06C01,72.6116917166653,0.10135376016655914,64.45806762990014
GSM2334022_7766148057_R04C01,26.299814198590934,0.06256050097802358,19.61746792248657
GSM2334029_9379082138_R02C02,59.14943811794899,0.07615628287690784,61.3046416498982
GSM2334031_7766148077_R05C02,58.84809104978624,0.1101619069465715,52.31548754029346
GSM2334035_9379082138_R03C02,30.95307572508352,0.06928349186387667,32.87891671900899
GSM2334039_9379082138_R05C02,28.45198345151181,0.06827122558556037,25.09152117113699
GSM2334057_7766148130_R04C01,15.464709292358831,0.057061605194428294,14.081337205885617
GSM2334060_7766148130_R01C01,28.925262754508474,0.05703838451101615,31.117217706186143
GSM2334061_7766148130_R06C01,19.624216370073512,0.055820318930599286,16.118610114264534
GSM2334062_7766148130_R01C02,23.21322629834571,0.05634831751597826,18.76357785982755
GSM2334067_7766148120_R02C02,23.97291523205761,0.05806432472873391,12.57894661983479
GSM2334071_7766148030_R01C01,26.643733211757905,0.057828413319138655,23.53831595141461
GSM2334088_7766148005_R01C01,76.84789623348424,0.09822972693289915,71.53443136225626
GSM2334090_9370847015_R05C01,82.1281967406658,0.10649132953822708,78.90266622851775
GSM2334092_7766148005_R02C01,77.73294217479408,0.08405162189801084,73.92092812910532
GSM2334101_9370847015_R02C02,78.56141942948972,0.11110387396050367,82.97181641319372
