,Hannum.Est,EpiTOC.Est,Horvath.Est
GSM2334381_9379082133_R03C02,53.100983636150396,0.06150149915145978,54.37847225592158
GSM2334382_9370847124_R05C01,46.41010024925824,0.05808034437368366,42.97283254219491
GSM2334390_9379082133_R05C02,50.03693799461991,0.0721620120345635,48.66434978899174
GSM2334396_9376538092_R03C01,55.048747208021986,0.09197121832187631,57.35130337233934
GSM2334398_9376538092_R04C01,32.49682426907525,0.06930511917479419,27.152743162344763
GSM2334399_7512560134_R03C02,40.92655279773295,0.07492756875584132,30.452688742226442
GSM2334407_9376537113_R01C01,51.56148404493841,0.0901200293585546,52.62374226330406
GSM2334411_7512560102_R03C01,61.35499550858504,0.09654463800077073,55.02113257026518
GSM2334414_9379082134_R04C02,29.34605282689921,0.06524358211572219,32.533855765340284
GSM2334418_7512560102_R05C02,55.25206093161836,0.08610093258495508,48.8250336232528
GSM2334420_7512560102_R06C02,54.96769934554762,0.08490639206313427,44.0814703235484
GSM2334430_9376538150_R04C01,81.83401413712353,0.10277874977859663,82.73443178271448
GSM2334434_9376538150_R06C01,43.11412841668797,0.0797972066120092,42.29132056026159
GSM2334450_7766148055_R01C01,32.25091034911882,0.06827211417361377,28.7954352889346
GSM2334456_9379082101_R03C01,19.63381770517182,0.06798331691169497,20.59386614776752
GSM2334463_7766148061_R03C02,31.50104394504327,0.06884899390914132,24.469473232911476
GSM2334465_7766148122_R03C02,27.055706587913058,0.05752229573186321,19.753772181246365
GSM2334466_7766148113_R03C01,70.54261917217022,0.09048049569384298,71.5861369308769
GSM2334470_7766148113_R05C01,64.78791995388809,0.06700515304433438,55.514818781504175
GSM2334471_7766148122_R06C02,41.829989375238355,0.07528199878315898,41.11637120576064
GSM2334472_7766148113_R06C01,45.97609530272137,0.07948022863820578,42.28080835616008
GSM2334473_7766148113_R01C01,57.421451190404476,0.08514671963037383,48.89227091625459
GSM2334474_7766148113_R01C02,74.89878847860354,0.08827121820772725,71.61993915057535
GSM2334475_7766148113_R02C01,19.100972467349173,0.05559616209981366,13.765957856139494
GSM2334476_7766148113_R02C02,29.163140305791053,0.05602579210874987,19.648691384725772
GSM2334483_7766148113_R06C02,74.96863184874712,0.10511554685836567,65.58846085161275
GSM2334484_7766148061_R06C01,15.666649554457258,0.04453012436391773,12.070508795404189
GSM2334487_7766148061_R02C01,30.929555325373762,0.07306312436787256,35.24631660276075
GSM2334503_7766148098_R02C01,89.76145777451076,0.0895384879400971,73.07357299907818
GSM2334512_9376561056_R04C02,41.794446452357114,0.06348182861020715,50.48612202229619
GSM2334517_9376561048_R05C01,72.4144214726341,0.10311010534345064,72.67122195312105
GSM2334518_7766148012_R01C02,30.72378441793,0.06462476045004718,24.503685230829163
GSM2334519_9376561048_R06C01,91.71865243856372,0.12634196859135416,91.62232154929167
GSM2334524_9376561056_R04C01,20.838750895911982,0.056912404586493284,22.382092585180384
GSM2334526_7766148012_R01C01,30.11406890618928,0.05447246838692277,27.53755002558725
GSM2334541_7766148016_R05C02,60.538834622454424,0.08941021757655417,57.65555951282831
GSM2334543_7766148053_R03C01,90.1883996800342,0.16631163659930323,82.9361712684094
GSM2334552_9376561048_R03C02,52.63112733590285,0.06658122955304646,48.068706381015026
GSM2334558_7766148016_R05C01,44.178956699932705,0.0738594579701875,38.45288824233482
GSM2334573_7766148061_R05C02,64.23943671314458,0.08773448867142705,61.2825696031106
GSM2334575_7766148098_R05C02,80.32418282869187,0.11186412733324008,68.71330154577063
GSM2334582_7766148098_R03C02,76.52385764831023,0.08682924934997066,70.13216935928588
GSM2334587_7766148103_R02C02,49.563152603147664,0.07087492839578095,45.967830589819826
GSM2334594_7766148103_R06C02,73.48613195256002,0.10083963611085875,65.65698124480308
GSM2334614_7512551003_R02C02,73.25310384752585,0.1233167434318353,72.3796361348414
GSM2334617_7512551037_R02C02,48.068902298306895,0.0831465234570947,46.71218935544519
GSM2334618_7512551003_R01C01,65.47741981876987,0.083947604835701,56.837220392432684
GSM2334628_7512551003_R03C01,71.64406629998257,0.08815188740607807,71.97397732016836
GSM2334629_7512551003_R04C01,56.04154528195064,0.058991818703822675,55.360102637864266
GSM2334633_7766148084_R01C01,52.16892331317444,0.08684437439635095,50.59350451604475
