,Mono,Mono,Mono
,r2,mae,explained_variance
MethylNet,0.3729±0.0669,0.0124±0.0008,0.3793±0.0622
EpiDISH+RPC,0.1705±0.1294,0.0152±0.0008,0.6399±0.0532
EpiDISH+Cibersort,0.4462±0.089,0.012±0.0007,0.5425±0.0717
EpiDISH+CP,0.2382±0.1201,0.0145±0.0008,0.6582±0.0501
