,CD4T,CD4T,CD4T
,r2,mae,explained_variance
MethylNet,0.8636±0.0177,0.0141±0.0009,0.8757±0.0164
EpiDISH+RPC,0.337±0.0909,0.0361±0.0014,0.8901±0.0184
EpiDISH+Cibersort,0.5995±0.0579,0.026±0.0014,0.8618±0.0203
EpiDISH+CP,-0.0651±0.1406,0.047±0.0015,0.8775±0.0205
