,Neu,Neu,Neu
,r2,mae,explained_variance
MethylNet,0.9722±0.0043,0.0107±0.0007,0.9736±0.0042
EpiDISH+RPC,0.8427±0.025,0.029±0.0013,0.9609±0.0073
EpiDISH+Cibersort,0.913±0.0147,0.02±0.0011,0.9575±0.008
EpiDISH+CP,0.8548±0.0224,0.0289±0.001,0.9763±0.0043
